symbol,name,price,change,pct_change,volume
AAPL,Apple Inc.,175.25,2.15,1.24,45678900
MSFT,Microsoft Corporation,415.32,3.42,0.83,23456700
GOOGL,Alphabet Inc.,145.67,1.25,0.86,12345600
AMZN,Amazon.com Inc.,178.89,-0.45,-0.25,34567800
TSLA,Tesla Inc.,245.12,12.34,5.30,98765400
NVDA,NVIDIA Corporation,895.45,25.67,2.95,5678900
META,Meta Platforms Inc.,485.32,8.91,1.87,2345600
NFLX,Netflix Inc.,615.78,4.56,0.75,1234500
AMD,Advanced Micro Devices Inc.,165.43,1.23,0.75,4567800
INTC,Intel Corporation,42.15,-0.32,-0.75,3456700
