symbol,name,price,change,pct_change,volume
LBGJ,LBGJ,0.22,-2.19,-90.78,80830654
GVH,GVH,1.48,-3.28,-68.91,21896586
EOSER,EOSER,0.01,-0.01,-66.15,252494441
RSVRW,RSVRW,0.03,-0.04,-55.71,15400
CREG,CREG,0.77,-0.66,-46.01,3434138
ASTLW,ASTLW,0.01,-0.01,-42.75,24681
CCGWW,CCGWW,0.01,-0.01,-41.5,85118
PSNYW,PSNYW,3.31,-2.26,-40.57,355400
IREZ,IREZ,7.58,-4.98,-39.67,20128826
LAFAR,LAFAR,0.1,-0.07,-38.69,2111
GTERW,GTERW,0.06,-0.04,-37.27,1713
PRENW,PRENW,0.01,-0.01,-37.14,45846
SPWRW,SPWRW,0.11,-0.06,-35.06,613
NEXRW,NEXRW,0.02,-0.01,-34.26,17469
BCGWW,BCGWW,0.09,-0.04,-33.71,8438
QMLS,QMLS,9.49,-4.79,-33.54,399270
VCIG,VCIG,0.61,-0.31,-33.52,40029817
AMPGZ,AMPGZ,0.75,-0.36,-32.43,11527
ORIQW,ORIQW,0.12,-0.06,-31.91,61
DARE,DARE,1.34,-0.62,-31.63,1104601
