symbol,name,price,change,volume
BITO,BITO,8.82,0.14,439951669
EOSER,EOSER,0.01,-0.01,252494441
ONDS,ONDS,6.87,0.34,186608652
AMC,AMC,2.46,0.52,183476725
PATH,PATH,12.17,0.02,169675565
AAL,AAL,15.14,0.16,165857066
NU,NU,13.98,0.4,160430016
FFAI,FFAI,0.11,-0.02,153593906
SNDQ,SNDQ,4.0,-0.19,147638072
ZYBT,ZYBT,8.01,7.31,146433590
KWM,KWM,0.1,-0.02,129870545
MSTU,MSTU,1.98,0.12,117755065
ACHR,ACHR,5.29,0.85,98370081
IREN,IREN,40.2,6.58,90275998
HL,HL,14.3,-0.03,89465180
INTC,INTC,97.06,2.02,89086242
NVDA,NVDA,203.28,0.47,87650546
T,T,21.98,0.17,87474457
OPEN,OPEN,4.45,-0.06,82433701
NOK,NOK,10.1,-0.03,81085548
