symbol,name,price,change,pct_change,volume
MRNX,MRNX,141.8,110.47,352.6,2730579
ASTLW,ASTLW,0.01,0.01,222.5,110934
MRNA,MRNA,174.38,111.42,176.97,187013791
TNONW,TNONW,0.02,0.01,175.0,2475952
MRNY,MRNY,41.94,26.34,168.85,4374431
ZSTK,ZSTK,4.96,2.99,151.78,23858298
YJ,YJ,4.25,2.51,144.25,128185345
TNON,TNON,11.41,5.96,109.36,48654278
AACBR,AACBR,0.01,0.0,81.82,846231
BTCT,BTCT,0.84,0.37,79.97,81562736
SPWRW,SPWRW,0.06,0.02,69.8,19847
PUR,PUR,22.56,8.57,61.31,58922
SBFMW,SBFMW,0.05,0.02,60.97,134
SLXNW,SLXNW,0.02,0.01,56.0,6865
BIVIW,BIVIW,0.25,0.09,55.38,116326
RDACU,RDACU,9.95,3.45,53.08,5839
CCCTW,CCCTW,0.5,0.17,52.44,814
BZAIW,BZAIW,0.14,0.05,52.42,508
RDAC,RDAC,8.78,2.93,50.09,16207251
LWACW,LWACW,0.27,0.09,49.92,167015
